Date,Australia,Brazil,Canada,Germany,France,Hongkong,Japan,Malaysia,US,India,Close
2019-07-10,1.357,7.22,1.58,-0.26,-0.014,1.67,-0.128,3.65,2.07,6.54,9166.150391
2019-07-11,1.337,7.2,1.62,-0.27,0.025,1.63,-0.143,3.64,2.13,6.49,9152.769531
2019-07-12,1.442,7.28,1.6,-0.2,0.067,1.65,-0.118,3.64,2.12,6.49,9213.379883
2019-07-16,1.408,7.34,1.59,-0.27,-0.0003,1.62,-0.123,3.64,2.13,6.33,9283.410156
2019-07-17,1.399,7.32,1.53,-0.28,-0.038,1.62,-0.128,3.65,2.06,6.35,9302.0
2019-07-18,1.354,7.28,1.5,-0.3,-0.061,1.58,-0.138,3.65,2.04,6.39,9154.650391
2019-07-19,1.358,7.33,1.5,-0.32,-0.067,1.56,-0.138,3.64,2.05,6.36,9228.549805
2019-07-22,1.337,7.29,1.48,-0.33,-0.082,1.58,-0.138,3.64,2.05,6.42,9122.639648
2019-07-23,1.322,7.23,1.49,-0.34,-0.092,1.59,-0.148,3.64,2.08,6.46,9175.830078
2019-07-24,1.303,7.19,1.45,-0.37,-0.113,1.61,-0.148,3.65,2.05,6.44,9266.299805
2019-07-25,1.234,7.26,1.46,-0.39,-0.102,1.59,-0.153,3.64,2.08,6.51,9344.820313
2019-07-26,1.234,7.23,1.46,-0.37,-0.122,1.64,-0.153,3.63,2.08,6.53,9349.0
2019-07-29,1.215,7.22,1.47,-0.39,-0.138,1.66,-0.148,3.62,2.06,6.41,9354.280273
2019-07-31,1.19,7.25,1.49,-0.41,-0.179,1.64,-0.157,3.62,2.02,6.37,9326.610352
2019-08-01,1.215,7.28,1.39,-0.42,-0.191,1.65,-0.131,3.63,1.9,6.42,9268.049805
2019-08-02,1.091,7.25,1.37,-0.49,-0.23,1.53,-0.167,3.6,1.86,6.35,9136.459961
2019-08-06,1.046,7.27,1.24,-0.53,-0.264,1.42,-0.181,3.59,1.73,6.34,8859.469727
2019-08-07,0.962,7.19,1.22,-0.57,-0.316,1.34,-0.198,3.58,1.71,6.37,8814.740234
2019-08-08,0.983,7.15,1.24,-0.56,-0.279,1.27,-0.191,3.5,1.72,6.4,8919.280273
2019-08-09,0.963,7.17,1.27,-0.59,-0.273,1.22,-0.22,3.47,1.74,6.49,8795.179688
2019-08-13,0.938,7.21,1.23,-0.61,-0.317,1.2,-0.237,3.45,1.68,6.52,8902.629883
2019-08-14,0.948,7.26,1.15,-0.63,-0.367,1.2,-0.221,3.44,1.59,6.62,8966.469727
2019-08-16,0.888,7.18,1.14,-0.71,-0.408,1.07,-0.236,3.25,1.55,6.54,9060.919922
2019-08-19,0.918,7.28,1.18,-0.65,-0.365,1.07,-0.231,3.29,1.6,6.58,9328.969727
2019-08-20,0.946,7.31,1.16,-0.67,-0.413,1.07,-0.236,3.35,1.55,6.58,9328.730469
2019-08-21,0.936,7.22,1.21,-0.66,-0.399,1.1,-0.241,3.39,1.59,6.56,9322.75
2019-08-22,0.915,7.22,1.28,-0.66,-0.354,1.1,-0.241,3.38,1.62,6.55,9350.55957
2019-08-23,0.979,7.26,1.17,-0.62,-0.371,1.17,-0.235,3.39,1.52,6.56,9362.549805
2019-08-26,0.892,7.39,1.21,-0.66,-0.373,1.08,-0.276,3.32,1.54,6.47,9270.389648
2019-08-27,0.911,7.42,1.12,-0.67,-0.415,1.06,-0.265,3.31,1.49,6.52,9443.179688
2019-08-28,0.891,7.59,1.13,-0.71,-0.442,1.05,-0.271,3.31,1.47,6.56,9414.0
2019-08-29,0.882,7.54,1.15,-0.69,-0.415,1.08,-0.286,3.32,1.5,6.54,9398.469727
2019-08-30,0.889,7.44,1.16,-0.7,-0.41,1.13,-0.275,3.35,1.5,6.56,9365.679688
2019-09-03,0.944,7.37,1.13,-0.74,-0.408,1.09,-0.274,3.35,1.47,6.52,9633.69043
2019-09-04,0.935,7.3,1.13,-0.68,-0.377,1.04,-0.286,3.33,1.47,6.55,9700.320313
2019-09-05,0.972,7.32,1.26,-0.64,-0.29,1.06,-0.269,3.35,1.57,6.57,9783.5
2019-09-06,1.092,7.33,1.28,-0.59,-0.337,1.11,-0.243,3.38,1.55,6.6,9823.419922
2019-09-11,1.141,7.33,1.42,-0.54,-0.258,1.26,-0.201,3.39,1.75,6.67,9853.719727
2019-09-12,1.153,7.31,1.45,-0.58,-0.26,1.25,-0.207,3.38,1.79,6.66,9919.799805
2019-09-17,1.129,7.19,1.45,-0.49,-0.181,1.35,-0.145,3.39,1.81,6.73,9722.799805
2019-09-18,1.136,7.17,1.43,-0.5,-0.228,1.31,-0.178,3.4,1.8,6.62,9753.30957
2019-09-19,1.056,7.19,1.43,-0.49,-0.211,1.3,-0.22,3.44,1.79,6.63,9852.200195
2019-09-20,1.016,7.07,1.39,-0.52,-0.222,1.29,-0.209,3.5,1.74,6.78,9881.25
2019-09-24,0.957,7.16,1.3,-0.57,-0.3,1.24,-0.231,3.54,1.64,6.78,9811.379883
2019-09-25,0.938,7.09,1.39,-0.61,-0.275,1.19,-0.246,3.54,1.73,6.75,9671.05957
2019-09-26,0.947,7.06,1.36,-0.59,-0.286,1.24,-0.236,3.51,1.7,6.71,9464.839844
2019-09-27,0.942,7.05,1.36,-0.58,-0.284,1.25,-0.224,3.41,1.69,6.73,9548.959961
2019-09-30,1.012,7.05,1.37,-0.56,-0.27,1.24,-0.206,3.4,1.68,6.7,9446.240234
2019-10-09,0.878,6.92,1.31,-0.58,-0.266,1.3,-0.208,3.41,1.59,6.66,9506.55957
2019-10-10,0.891,6.83,1.4,-0.54,-0.199,1.34,-0.214,3.41,1.67,6.68,9638.099609
2019-10-11,1.013,6.7,1.51,-0.48,-0.162,1.4,-0.183,3.41,1.76,6.73,9666.580078
2019-10-15,1.013,6.75,1.56,-0.46,-0.168,1.42,-0.171,3.44,1.77,6.66,9671.730469
2019-10-16,1.045,6.64,1.55,-0.43,-0.14,1.46,-0.162,3.44,1.75,6.66,9642.05957
2019-10-17,1.1,6.57,1.56,-0.38,-0.146,1.45,-0.157,3.44,1.76,6.7,9645.389648
2019-10-18,1.101,6.57,1.54,-0.39,-0.084,1.45,-0.151,3.44,1.76,6.69,9533.509766
2019-10-23,1.102,6.57,1.52,-0.41,-0.095,1.52,-0.138,3.44,1.77,6.68,9567.75
2019-10-24,1.082,6.56,1.52,-0.39,-0.107,1.55,-0.145,3.47,1.77,6.68,9555.759766
2019-10-25,1.057,6.55,1.54,-0.39,-0.074,1.53,-0.145,3.49,1.8,6.67,9660.44043
2019-10-29,1.181,6.51,1.6,-0.35,-0.058,1.55,-0.108,3.49,1.84,6.68,9746.030273
2019-10-30,1.136,6.54,1.45,-0.36,-0.06,1.54,-0.12,3.5,1.78,6.66,9681.540039
