Date,10years
2011-05-12,12.49 
2011-05-13,12.49 
2011-05-16,12.49 
2011-05-17,12.43 
2011-05-18,12.43 
2011-05-19,12.43 
2011-05-20,12.43 
2011-05-23,12.43 
2011-05-24,12.43 
2011-05-25,12.55 
2011-05-26,12.55 
2011-05-27,12.55 
2011-05-30,12.55 
2011-05-31,12.55 
2011-06-01,12.55 
2011-06-02,12.55 
2011-06-03,12.46 
2011-06-06,12.55 
2011-06-07,12.55 
2011-06-08,12.30 
2011-06-09,12.29 
2011-06-10,12.24 
2011-06-13,12.25 
2011-06-14,12.30 
2011-06-15,12.28 
2011-06-16,12.32 
2011-06-17,12.33 
2011-06-20,12.34 
2011-06-21,12.43 
2011-06-22,12.55 
2011-06-24,12.36 
2011-06-27,12.35 
2011-06-28,12.41 
2011-06-29,12.42 
2011-06-30,12.46 
2011-07-01,12.38 
2011-07-04,12.36 
2011-07-05,12.42 
2011-07-06,12.36 
2011-07-07,12.41 
2011-07-08,12.42 
2011-07-11,12.41 
2011-07-12,12.49 
2011-07-13,12.46 
2011-07-14,12.47 
2011-07-15,12.57 
2011-07-18,12.53 
2011-07-19,12.51 
2011-07-20,12.54 
2011-07-21,12.63 
2011-07-22,12.60 
2011-07-25,12.65 
2011-07-26,12.59 
2011-07-27,12.66 
2011-07-28,12.78 
2011-07-29,12.81 
2011-08-01,12.71 
2011-08-02,12.55 
2011-08-03,12.50 
2011-08-04,12.43 
2011-08-05,12.42 
2011-08-08,12.27 
2011-08-09,12.30 
2011-08-10,12.37 
2011-08-11,12.49 
2011-08-12,12.40 
2011-08-15,12.14 
2011-08-16,12.41 
2011-08-17,11.90 
2011-08-18,11.72 
2011-08-19,11.87 
2011-08-22,11.84 
2011-08-23,11.82 
2011-08-24,11.96 
2011-08-25,11.93 
2011-08-26,11.74 
2011-08-29,11.39 
2011-08-30,11.57 
2011-08-31,11.64 
2011-09-01,11.49 
2011-09-02,11.90 
2011-09-05,11.70 
2011-09-06,11.43 
2011-09-08,11.53 
2011-09-09,11.42 
2011-09-12,11.34 
2011-09-13,11.66 
2011-09-14,11.73 
2011-09-15,11.45 
2011-09-16,11.76 
2011-09-19,11.96 
2011-09-20,12.00 
2011-09-21,12.17 
2011-09-22,12.30 
2011-09-23,11.91 
2011-09-26,11.69 
2011-09-27,11.68 
2011-09-28,11.66 
2011-09-29,11.70 
2011-09-30,11.62 
2011-10-03,11.43 
2011-10-04,11.59 
